time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-01 00:00:00,62.06,60.6,Lower Northeast,58.0,67.0,Outside
2021-09-01 00:00:00,70.7,56.5,Backyard,58.0,67.0,Outside
2021-09-01 00:00:00,64.94,57.8,Lower Southeast,58.0,67.0,Outside
2021-09-01 00:00:00,64.58,62.1,Lower Southwest,58.0,67.0,Outside
2021-09-01 00:00:00,69.62,55.6,Upper East (Garage),58.0,67.0,Outside
2021-09-01 00:00:00,68.72,55.29,Upper West (Bedroom),58.0,67.0,Outside
2021-09-01 00:00:00,58.0,67.0,Outside,58.0,67.0,Outside
2021-09-01 01:00:00,61.88,60.4,Lower Northeast,57.0,69.0,Outside
2021-09-01 01:00:00,70.7,56.3,Backyard,57.0,69.0,Outside
2021-09-01 01:00:00,64.58,57.7,Lower Southeast,57.0,69.0,Outside
2021-09-01 01:00:00,64.4,61.9,Lower Southwest,57.0,69.0,Outside
2021-09-01 01:00:00,69.44,56.2,Upper East (Garage),57.0,69.0,Outside
2021-09-01 01:00:00,68.54,54.89,Upper West (Bedroom),57.0,69.0,Outside
2021-09-01 01:00:00,57.0,69.0,Outside,57.0,69.0,Outside
2021-09-01 02:00:00,61.88,61.0,Lower Northeast,55.0,74.0,Outside
2021-09-01 02:00:00,70.52,56.0,Backyard,55.0,74.0,Outside
2021-09-01 02:00:00,64.58,57.8,Lower Southeast,55.0,74.0,Outside
2021-09-01 02:00:00,64.4,61.6,Lower Southwest,55.0,74.0,Outside
2021-09-01 02:00:00,69.44,57.4,Upper East (Garage),55.0,74.0,Outside
2021-09-01 02:00:00,68.36,55.49,Upper West (Bedroom),55.0,74.0,Outside
2021-09-01 02:00:00,55.0,74.0,Outside,55.0,74.0,Outside
2021-09-01 03:00:00,61.88,61.5,Lower Northeast,54.0,77.0,Outside
2021-09-01 03:00:00,70.34,55.9,Backyard,54.0,77.0,Outside
2021-09-01 03:00:00,64.58,58.0,Lower Southeast,54.0,77.0,Outside
2021-09-01 03:00:00,64.4,62.0,Lower Southwest,54.0,77.0,Outside
2021-09-01 03:00:00,69.26,56.5,Upper East (Garage),54.0,77.0,Outside
2021-09-01 03:00:00,68.36,55.19,Upper West (Bedroom),54.0,77.0,Outside
2021-09-01 03:00:00,54.0,77.0,Outside,54.0,77.0,Outside
2021-09-01 04:00:00,61.7,61.8,Lower Northeast,54.0,80.0,Outside
2021-09-01 04:00:00,70.34,55.8,Backyard,54.0,80.0,Outside
